bpm,genre,title,artist
180,RAVE,HIGH,RAM
155,TECHNO,Innocent Walls,TaQ
140,TRANCE,Love Is Eternity,kors k
160,RAVE,LOW,RAM
156,DANCE POP,Lucy,ELE BLOCK
170,ARTCORE,Narcissus At Oasis,Ryu☆
172,PROGRESSIVE BAROQUE,No.13,TAKA respect for J.S.B.
200,HAPPY,One More Lovely,Risk Junk
148,TRANCE,pandora,dj TAKA feat.Tomomi
177,HAPPY HARDCORE,rainbow rainbow,Ryu☆
144,TRANCE,Rise'n Beauty,Sota feat. Cyborg Akemi
140,J-POP,SHOOTING STAR,小坂りゆ
139,戦艦テクノ,SPACE FIGHT,AKIRA YAMAOKA
175-200,お江戸テクノ,1st Samurai,sampling masters MEGA
148,ムートラ（ムードトランス）,システムロマンス,ヒロシ＆チー子
151,HARD HOUSE,雪月花,Ryu☆
154,RENAISSANCE,AA,D.J.Amuro
180,HAPPY HARDCORE,AGEHA,Ryu☆
150,PSYCHEDELIC GOA TRANCE,ANDROMEDA,Sota Fujimori
143,TRANCE,awakening,AKIRA YAMAOKA
150,HARD DANCE,Be quiet,Ryu☆
141,TRANCE,BLOCKS,SPARKER
160,ROCOCO TEK,BREATH,SPARKER
137,CLICK HOUSE,Click Again,dj REMO-CON
132-145,AMERICA,Close my Eyes for Me,D-crew feat.DENNIS GUNN (DJ Yoshitaka SCRATCHING)
116,J-POP,D.A.N.C.E.!,DJ Yoshitaka feat.星野奏子
165,J-POP,Don't be afraid myself,platoniX with ray.D
45-94,PIANO BALLAD,earth scape,dj TAKA
200,HARD ROCK,FAKE TIME,dj REMO-CON
133,DANCE POP,Fly Away To India,Baby Weapon feat.KAJIL
175,DRUM'N'BASS,GENOCIDE,dj Killer
173,NUSTYLE GABBA,gigadelic,teranoid feat.MC Natsack
171,HAPPY HARDCORE,HORIZON,LIA
212,BEAT ROCK,KEY,colors
160,COLORFUL HARDCORE,Raspberry♡Heart(English version),jun feat. PAULA TERRY
165,SPEED RAVE,RED ZONE,Tatsh&NAOKI
160,HARD SONATA,RESONATE 1794,KOHTA
162,DRUM'N'BASS,Secret of Love,D.J.SWAN
155,EUROBEAT,SPEEDY CAT,Y&Co.
160,MEDIEVAL CHOIR,Sphere,Tatsh feat. K.Nayuki
154,PSYCHEDELIC TECHNO,spiral galaxy,D.J.SETUP
144,CYBORG TRANCE,The Hope of Tomorrow,Sota Fujimori
180,HYPER J-POP FIVE,ULTiM∧TE,TЁЯRA
126,NATURAL SOUND,Wonder Bullfighter,Twin AmadeuS
84-168,JAPAN,大桟橋,ウッチーズ
155,CYBER J-EURO,太陽～T・A・I・Y・O～,NAOKI feat.星野奏子
165-188,DIRGE,ピアノ協奏曲第1番"蠍火",virkato
70-168,GOTHIC METAL,Agnus Dei,あさき
140,NATURAL SOUND,alla turca con passione,Twin AmadeuS
181,TRANCE CORE,Aurora,Ryu☆
160,NOSTALISH REQUIEM,CaptivAte～浄化～,A/I
115,ACID JAZZ,Catch Me,DJ Yoshitaka feat. ERi
166,BATTLE2005,double thrash,414
200,HYPER J-POP SIX,EDEN,TЁЯRA
182,E-ROCK,EMPTY OF THE SKY,AKIRA YAMAOKA
150,TECHNO RAVE,First Resolution,good-cool
220,SWING WALTZ,garden,青野りえ
145,RAVE,Get'em up to R.A.V.E,Disconation
180,HAPPY HARDCORE,HAPPY☆ANGEL,jun with TAHIRIH
190,CYBER J-ROCK,I am,有沢みはる from BeForU
138,CLICK HOUSE,in motion,Ryu☆
148,TRANCE,INAZUMA,dj TAKA
152,HAPPY EXTREME,LESSON 5,Risk Junk feat.Erika Mochizuki
170,DRUM'N'BASS,Love Magic,D.J.SWAN
147,FUTURE HOUSE,MOON RACE,ELEKTEL
116-146,HEART,Pink Rose,Kiyommy＋Seiya
148,SYNTHESIZED TECHNO,PLASMA,Sota Fujimori
145,HARD DANCE,Pollinosis,dj REMO-CON
160,EUROBEAT,POODLE,Y&Co.
152,DIGI-ROCK,rage against usual,dj TAKA feat.Gt.Shintaro
220,BREAKCORE,SCREAM SQUAD,CALF
151,TECHNO,Scripted Connection⇒ A mix,DJ MURASAME
151,TECHNO,Scripted Connection⇒ H mix,DJ MURASAME
151,TECHNO,Scripted Connection⇒ N mix,DJ MURASAME
179,MAKINA,SigSig,kors k
265,MPB,Tizona d'El Cid,TOMOSUKE
160,HAPPY EURO PARADISE,Twelfth Style,Tatsh&DAYBREAKERS NEXT
170,J-EUROTRANCE,Under the Sky,南さやか(BeForU) with platoniX
160,ELECTROSHOCK,vault of heaven,Mr.T
136-147,ANTHEM TRANCE,Votum stellarum,iconoclasm
129,DISCO,We are Disっ娘よっつ打ち命,DANCE☆MAN feat. Disっ娘
170,MEDIEVAL CHOIR,Xepher,Tatsh
252,SYNTHETIC PROGRESSIVE ROCK,100% minimoo-G,Sota Fujimori
123,FUNK,オレはビートマニア！お前は何マニア？,DANCE☆MAN
155,HARD DANCE,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),L.E.D. / Remixed by Ryu☆
155,J-EUROBEAT,月光,Tatsh feat. 星野奏子
185,J-HAPPY HARDCORE,ヒマワリ,小坂りゆ
66-200,HUMAN SEQUENCER,冥,Amuro vs Killer
99-198,REGGAE,ラクエン,Chonan Chiharu
170,HYPER J-POP SEVEN,ALFARSHEAR 双神威に廻る夢,TЁЯRA
